"","cid","PA1","PA2","PA4","PA3","cluster"
"1",1,-0.131200218398208,-0.606353006218783,0.732562336230725,-1.88420475227063,5
"2",2,1.0686234092907,-0.787544593484931,0.0820467834067911,-2.18694759361463,5
"3",3,-2.21868978765869,-1.82090325351463,0.0894995465858819,-1.96594239157028,5
"4",4,-0.151594390670475,-0.808403713809203,0.231164844697506,1.08208644647382,2
"5",5,-1.94520117430264,0.858556502115467,-0.695910785111698,-2.21951703922319,5
"6",6,-1.9322271946877,0.324022976261458,2.06507664763155,0.238799022648612,4
"7",7,0.274934539307218,-1.15089860838643,-0.0695547804313744,-0.636017976438446,5
"8",8,-2.1399284031828,-1.35705959189361,-0.161416823866074,0.481452496411499,3
"9",9,-0.398609373491233,0.961658972020503,0.247077778419884,-0.590456271805115,4
"10",10,-0.151594390670475,-0.808403713809203,0.231164844697506,1.08208644647382,2
"11",11,-0.861863062282739,-2.11461524266111,1.56581092811954,-0.0421412388923446,5
"12",12,-0.0336840505177601,-1.41415630415856,0.468847661481529,0.101804436943583,2
"13",13,-0.0550741032863377,-0.0951888862142171,0.232825752572785,1.22854510959391,2
"14",14,0.205915120723722,0.396132622308774,-0.739975034025836,0.790559024438697,1
"15",15,-1.33030946054645,-0.675198104396913,0.110309798299738,1.2836130773246,3
"16",16,0.902873096386928,0.0774554608396999,1.89356585993291,-0.805483500451393,4
"17",17,-2.18501858398762,-1.6824958290947,0.0198573930015724,-1.91059259674817,5
"18",18,-1.14331549777621,-0.566161779438878,-0.744727518074963,0.371964813806719,3
"19",19,-0.219082512916142,1.27518733001164,2.18496456940257,1.06012559944282,4
"20",20,0.741020009880535,1.23154367477364,2.27431631041489,0.95752414551556,4
"21",21,1.10173564111556,0.387143972949317,-0.692598294025164,0.12006392220612,1
"22",22,-0.669970440183069,-1.43500296795507,-0.422474881047629,-2.0445269695378,5
"23",23,0.115940604113649,-0.716989464552426,1.50278258975753,0.877874250314159,4
"24",24,-0.522265847371471,-0.656699415100193,1.26312861149346,0.390534784318404,4
"25",25,-0.0684722373341814,-0.344431403479011,-0.249472642261887,0.72131235893748,2
"26",26,0.647823086019934,0.105283888667437,1.37277959894872,0.741699976431668,4
"27",27,1.3708060277059,-1.12475149216868,-0.779954528256518,0.0607835428549454,2
"28",28,0.451019303783606,-0.43227661300436,0.00183154924166646,-0.322812868373634,2
"29",29,0.856679121663172,-1.56221087542882,-0.52209852015678,0.0712501900471174,2
"30",30,-0.507807987148859,0.159881360677162,-0.635084831348849,-0.199068441055727,3
"31",31,1.38075758674921,-0.369788351036282,0.573351900772552,0.855611074441958,2
"32",32,0.545587809966343,-0.698475675107236,0.269827117735233,-0.171254087670861,2
"33",33,-0.445823082532989,0.457535669102582,0.149270776755378,0.434744892828959,4
"34",34,-1.70070736652748,-1.6379781426124,-0.0811228260972513,1.60132946396006,3
"35",35,1.82165550633279,-2.17644821574686,0.368262645118894,1.10679614642012,2
"36",36,1.38359557457644,-1.2426594142557,0.0678879875464519,-1.74372140925192,5
"37",37,-0.0220993442673081,0.558226628546792,-1.11940177850016,0.762757296765155,1
"38",38,0.156851668178997,-0.815489483997458,0.834192712023345,-0.76032092647477,5
"39",39,0.177406153535774,-0.599506628004848,-0.594128970653328,0.109304165967913,2
"40",40,0.337034355075419,0.428756091958333,-0.0216474777213914,0.56697681696627,1
"41",41,0.0236268539422081,1.18181636365299,0.199360207123938,0.717041190931339,4
"42",42,0.297061583170967,-0.138105410739192,0.620563060605501,-0.5572864533049,4
"43",43,0.259563819439715,0.733501477469728,0.51382158968886,0.650063510918495,4
"44",44,-0.700742020173044,-1.77600298854851,-0.0963941953509919,-0.754280643173296,5
